work_year,salary_cleaned,salary_in_usd_cleaned,company_size_lab,salary_currency_encoded,employee_residence_encoded,company_location_encoded,remote_ratio,job_title_encoded,experience_level_EN,experience_level_EX,experience_level_MI,experience_level_SE,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT
2023,70000.0,85066.0,1,94880613,22777947,22777947,100,91959503,0,0,1,0,0,0,1,0
2023,47500.0,57723.0,1,94880613,22777947,22777947,100,91959503,0,0,1,0,0,0,1,0
2023,85000.0,85000.0,1,51126126,25370322,25370322,100,53819113,1,0,0,0,0,0,1,0
2023,75000.0,75000.0,1,51126126,25370322,25370322,100,53819113,1,0,0,0,0,0,1,0
2023,160000.0,160000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,140000.0,140000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,300000.0,,1,51126126,25370322,25370322,0,67921766,0,0,1,0,0,0,1,0
2023,250000.0,250000.0,1,51126126,25370322,25370322,0,67921766,0,0,1,0,0,0,1,0
2023,228000.0,228000.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,186000.0,186000.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,190000.0,190000.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,170000.0,170000.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,230000.0,230000.0,1,51126126,25370322,25370322,0,45963291,0,0,1,0,0,0,1,0
2023,200000.0,200000.0,1,51126126,25370322,25370322,0,45963291,0,0,1,0,0,0,1,0
2023,180000.0,180000.0,1,51126126,25370322,25370322,100,54949590,0,0,0,1,0,0,1,0
2023,115000.0,115000.0,1,51126126,25370322,25370322,100,54949590,0,0,0,1,0,0,1,0
2023,200000.0,200000.0,1,51126126,25370322,25370322,100,54949590,0,0,0,1,0,0,1,0
2023,115000.0,115000.0,1,51126126,25370322,25370322,100,54949590,0,0,0,1,0,0,1,0
2023,50000.0,53654.0,2,49064728,46089120,46089120,50,69779527,0,0,0,1,0,0,1,0
2023,220000.0,220000.0,1,51126126,25370322,25370322,0,39298127,0,1,0,0,0,0,1,0
2023,205000.0,205000.0,1,51126126,25370322,25370322,0,39298127,0,1,0,0,0,0,1,0
2023,180000.0,180000.0,1,51126126,25370322,25370322,0,39298127,0,0,1,0,0,0,1,0
